tennis-transfer
Load pretrain model from ./dqn/pretrain_model/tennis-pretrain.model
[250000, -3.99234693877551, 392]
[500000, -3.9825581395348837, 344]
[750000, -3.995983935742972, 249]
[1000000, -3.9823788546255505, 227]
[1250000, -3.8986013986013988, 286]
[1500000, -3.8780487804878048, 246]
[1750000, -3.9473684210526314, 95]
[2000000, -3.6818181818181817, 66]
[2250000, -3.5294117647058822, 17]
[2500000, -3.3636363636363638, 11]
[2750000, -3.1666666666666665, 24]
[3000000, -3.965909090909091, 88]
[3250000, -3.4285714285714284, 14]
[3500000, -3.727272727272727, 11]
[3750000, -3.090909090909091, 11]
[4000000, -3.7142857142857144, 14]
[4250000, -3.5714285714285716, 14]
[4500000, -3.5714285714285716, 14]
[4750000, -3.1666666666666665, 18]
[5000000, -3.9047619047619047, 21]
[5250000, -3.7142857142857144, 14]
[5500000, -2.65, 20]
[5750000, -3.5384615384615383, 13]
[6000000, -2.789473684210526, 19]
[6250000, -3.2857142857142856, 21]
[6500000, -3.3333333333333335, 18]
[6750000, -2.608695652173913, 23]
[7000000, -3.096774193548387, 31]
[7250000, -2.057142857142857, 35]
[7500000, 1.5263157894736843, 19]
[7750000, 1.9, 50]
[8000000, 2.1594202898550723, 69]
[8250000, 2.4343434343434343, 99]
[8500000, 2.4098360655737703, 61]
